symbol,timeframe,timestamp,open,high,low,close,volume,complete
SYNTHETIC_EUR_USD,1m,2025-01-01T00:01:00+00:00,1.100000,1.100083,1.099965,1.100043,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:02:00+00:00,1.100043,1.100199,1.099958,1.100108,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:03:00+00:00,1.100108,1.100315,1.100094,1.100258,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:04:00+00:00,1.100258,1.100395,1.100193,1.100361,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:05:00+00:00,1.100361,1.100679,1.100291,1.100597,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:06:00+00:00,1.100597,1.100822,1.100522,1.100788,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:07:00+00:00,1.100788,1.101088,1.100701,1.100989,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:08:00+00:00,1.100989,1.101235,1.100962,1.101188,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:09:00+00:00,1.101188,1.101537,1.101167,1.101517,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:10:00+00:00,1.101517,1.101824,1.101440,1.101720,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:11:00+00:00,1.101720,1.102096,1.101603,1.102027,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:12:00+00:00,1.102027,1.102137,1.101956,1.102085,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:13:00+00:00,1.102085,1.102508,1.102012,1.102403,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:14:00+00:00,1.102403,1.102577,1.102388,1.102489,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:15:00+00:00,1.102489,1.102746,1.102454,1.102727,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:16:00+00:00,1.102727,1.103057,1.102686,1.103036,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:17:00+00:00,1.103036,1.103208,1.103003,1.103157,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:18:00+00:00,1.103157,1.103288,1.103044,1.103249,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:19:00+00:00,1.103249,1.103336,1.103158,1.103308,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:20:00+00:00,1.103308,1.103338,1.103256,1.103310,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:21:00+00:00,1.103310,1.103663,1.103225,1.103592,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:22:00+00:00,1.103592,1.103769,1.103497,1.103666,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:23:00+00:00,1.103666,1.103775,1.103627,1.103730,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:24:00+00:00,1.103730,1.103828,1.103616,1.103794,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:25:00+00:00,1.103794,1.103960,1.103741,1.103878,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:26:00+00:00,1.103878,1.103988,1.103729,1.103790,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:27:00+00:00,1.103790,1.103861,1.103705,1.103744,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:28:00+00:00,1.103744,1.103850,1.103635,1.103776,100,true
SYNTHETIC_EUR_USD,1m,2025-01-01T00:29:00+00:00,1.103776,1.103895,1.103565,1.103631,100,true
